Numer of labeled samples:26950   AUC:0.986
Numer of labeled samples:26956   AUC:0.986
Numer of labeled samples:26961   AUC:0.984
Numer of labeled samples:26958   AUC:0.986
Numer of labeled samples:26948   AUC:0.984
Numer of labeled samples:26961   AUC:0.984
Numer of labeled samples:26953   AUC:0.986
Numer of labeled samples:26963   AUC:0.987
Numer of labeled samples:26947   AUC:0.984
Numer of labeled samples:26970   AUC:0.987
Numer of labeled samples:26968   AUC:0.985
Numer of labeled samples:26969   AUC:0.986
Numer of labeled samples:26962   AUC:0.985
Numer of labeled samples:26960   AUC:0.983
Numer of labeled samples:26956   AUC:0.985
Numer of labeled samples:26968   AUC:0.984
Numer of labeled samples:26958   AUC:0.982
Numer of labeled samples:26962   AUC:0.986
Numer of labeled samples:26963   AUC:0.984
Numer of labeled samples:26969   AUC:0.984
Numer of labeled samples:26959   AUC:0.984
Numer of labeled samples:26968   AUC:0.985
Numer of labeled samples:26963   AUC:0.985
Numer of labeled samples:26966   AUC:0.985
Numer of labeled samples:26963   AUC:0.984
Numer of labeled samples:26965   AUC:0.986
Numer of labeled samples:26957   AUC:0.984
Numer of labeled samples:26958   AUC:0.985
Numer of labeled samples:26964   AUC:0.985
Numer of labeled samples:26974   AUC:0.985
Numer of labeled samples:26960   AUC:0.984
Numer of labeled samples:26965   AUC:0.984
Numer of labeled samples:26960   AUC:0.983
Numer of labeled samples:26973   AUC:0.985
Numer of labeled samples:26961   AUC:0.986
Numer of labeled samples:26967   AUC:0.984
Numer of labeled samples:26964   AUC:0.985
Numer of labeled samples:26971   AUC:0.983
Numer of labeled samples:26969   AUC:0.985
Numer of labeled samples:26964   AUC:0.985
Numer of labeled samples:26951   AUC:0.986
Numer of labeled samples:26969   AUC:0.985
Numer of labeled samples:26957   AUC:0.983
Numer of labeled samples:26968   AUC:0.983
Numer of labeled samples:26958   AUC:0.984
Numer of labeled samples:26974   AUC:0.984
Numer of labeled samples:26966   AUC:0.984
Numer of labeled samples:26970   AUC:0.983
Numer of labeled samples:26962   AUC:0.983
Numer of labeled samples:26970   AUC:0.983
Numer of labeled samples:26965   AUC:0.983
Numer of labeled samples:26970   AUC:0.985
Numer of labeled samples:26960   AUC:0.984
Numer of labeled samples:26964   AUC:0.983
Numer of labeled samples:26974   AUC:0.985
Numer of labeled samples:26968   AUC:0.984
Numer of labeled samples:26969   AUC:0.983
Numer of labeled samples:26970   AUC:0.985
Numer of labeled samples:26967   AUC:0.983
Numer of labeled samples:26974   AUC:0.983
Numer of labeled samples:26968   AUC:0.981
Numer of labeled samples:26968   AUC:0.985
Numer of labeled samples:26965   AUC:0.983
Numer of labeled samples:26970   AUC:0.984
Numer of labeled samples:26971   AUC:0.985
Numer of labeled samples:26980   AUC:0.983
Numer of labeled samples:26974   AUC:0.984
Numer of labeled samples:26975   AUC:0.984
Numer of labeled samples:26975   AUC:0.983
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26963   AUC:0.984
Numer of labeled samples:26980   AUC:0.985
Numer of labeled samples:26966   AUC:0.983
Numer of labeled samples:26975   AUC:0.983
Numer of labeled samples:26973   AUC:0.985
Numer of labeled samples:26979   AUC:0.983
Numer of labeled samples:26974   AUC:0.983
Numer of labeled samples:26976   AUC:0.984
Numer of labeled samples:26968   AUC:0.982
Numer of labeled samples:26976   AUC:0.984
Numer of labeled samples:26975   AUC:0.983
Numer of labeled samples:26981   AUC:0.983
Numer of labeled samples:26971   AUC:0.984
Numer of labeled samples:26975   AUC:0.984
Numer of labeled samples:26973   AUC:0.982
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26973   AUC:0.984
Numer of labeled samples:26975   AUC:0.984
Numer of labeled samples:26967   AUC:0.983
Numer of labeled samples:26969   AUC:0.983
Numer of labeled samples:26969   AUC:0.983
Numer of labeled samples:26963   AUC:0.983
Numer of labeled samples:26972   AUC:0.984
Numer of labeled samples:26975   AUC:0.984
Numer of labeled samples:26970   AUC:0.984
Numer of labeled samples:26977   AUC:0.983
Numer of labeled samples:26968   AUC:0.983
Numer of labeled samples:26973   AUC:0.983
Numer of labeled samples:26974   AUC:0.983
Numer of labeled samples:26974   AUC:0.984
Numer of labeled samples:26978   AUC:0.983
Numer of labeled samples:26975   AUC:0.985
Numer of labeled samples:26973   AUC:0.984
Numer of labeled samples:26977   AUC:0.983
Numer of labeled samples:26967   AUC:0.984
Numer of labeled samples:26966   AUC:0.984
Numer of labeled samples:26977   AUC:0.983
Numer of labeled samples:26979   AUC:0.984
Numer of labeled samples:26975   AUC:0.982
Numer of labeled samples:26973   AUC:0.983
Numer of labeled samples:26976   AUC:0.985
Numer of labeled samples:26978   AUC:0.983
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26977   AUC:0.984
Numer of labeled samples:26973   AUC:0.983
Numer of labeled samples:26978   AUC:0.984
Numer of labeled samples:26975   AUC:0.981
Numer of labeled samples:26974   AUC:0.982
Numer of labeled samples:26976   AUC:0.985
Numer of labeled samples:26978   AUC:0.982
Numer of labeled samples:26978   AUC:0.984
Numer of labeled samples:26977   AUC:0.984
Numer of labeled samples:26969   AUC:0.983
Numer of labeled samples:26980   AUC:0.984
Numer of labeled samples:26979   AUC:0.983
Numer of labeled samples:26971   AUC:0.983
Numer of labeled samples:26972   AUC:0.983
Numer of labeled samples:26973   AUC:0.983
Numer of labeled samples:26978   AUC:0.983
Numer of labeled samples:26978   AUC:0.984
Numer of labeled samples:26973   AUC:0.983
Numer of labeled samples:26980   AUC:0.985
Numer of labeled samples:26975   AUC:0.982
Numer of labeled samples:26981   AUC:0.983
Numer of labeled samples:26974   AUC:0.982
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26974   AUC:0.983
Numer of labeled samples:26981   AUC:0.984
Numer of labeled samples:26967   AUC:0.984
Numer of labeled samples:26982   AUC:0.982
Numer of labeled samples:26977   AUC:0.982
Numer of labeled samples:26980   AUC:0.984
Numer of labeled samples:26975   AUC:0.984
Numer of labeled samples:26979   AUC:0.983
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26976   AUC:0.984
Numer of labeled samples:26977   AUC:0.984
Numer of labeled samples:26981   AUC:0.984
Numer of labeled samples:26973   AUC:0.983
Numer of labeled samples:26981   AUC:0.984
Numer of labeled samples:26978   AUC:0.982
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26975   AUC:0.983
Numer of labeled samples:26981   AUC:0.984
Numer of labeled samples:26977   AUC:0.984
Numer of labeled samples:26978   AUC:0.985
Numer of labeled samples:26973   AUC:0.983
Numer of labeled samples:26978   AUC:0.985
Numer of labeled samples:26975   AUC:0.982
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26978   AUC:0.984
Numer of labeled samples:26977   AUC:0.984
Numer of labeled samples:26980   AUC:0.982
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26977   AUC:0.984
Numer of labeled samples:26979   AUC:0.984
Numer of labeled samples:26979   AUC:0.981
Numer of labeled samples:26985   AUC:0.983
Numer of labeled samples:26981   AUC:0.985
Numer of labeled samples:26976   AUC:0.985
Numer of labeled samples:26980   AUC:0.984
Numer of labeled samples:26976   AUC:0.983
Numer of labeled samples:26977   AUC:0.986
Numer of labeled samples:26981   AUC:0.985
Numer of labeled samples:26975   AUC:0.984
Numer of labeled samples:26980   AUC:0.984
Numer of labeled samples:26973   AUC:0.983
Numer of labeled samples:26981   AUC:0.985
Numer of labeled samples:26974   AUC:0.982
Numer of labeled samples:26978   AUC:0.984
Numer of labeled samples:26979   AUC:0.985
Numer of labeled samples:26979   AUC:0.984
Numer of labeled samples:26974   AUC:0.983
Numer of labeled samples:26978   AUC:0.984
Numer of labeled samples:26977   AUC:0.983
Numer of labeled samples:26982   AUC:0.986
Numer of labeled samples:26973   AUC:0.982
Numer of labeled samples:26973   AUC:0.984
Numer of labeled samples:26979   AUC:0.982
Numer of labeled samples:26979   AUC:0.984
Numer of labeled samples:26980   AUC:0.981
Numer of labeled samples:26980   AUC:0.982
Numer of labeled samples:26980   AUC:0.983
Numer of labeled samples:26983   AUC:0.982
Numer of labeled samples:26979   AUC:0.983
Numer of labeled samples:26982   AUC:0.984
Numer of labeled samples:26980   AUC:0.983
Numer of labeled samples:26980   AUC:0.983
Numer of labeled samples:26982   AUC:0.983
Numer of labeled samples:26979   AUC:0.984
Numer of labeled samples:26966   AUC:0.983
