Epoch:259   Accuracy:95.31
Epoch:260   Accuracy:95.26
Epoch:261   Accuracy:95.29
Epoch:262   Accuracy:95.36
Epoch:263   Accuracy:95.29
Epoch:264   Accuracy:95.29
Epoch:265   Accuracy:95.35
Epoch:266   Accuracy:95.51
Epoch:267   Accuracy:95.22
Epoch:268   Accuracy:95.22
Epoch:269   Accuracy:95.23
Epoch:270   Accuracy:95.12
Epoch:271   Accuracy:95.17
Epoch:272   Accuracy:95.36
Epoch:273   Accuracy:95.35
Epoch:274   Accuracy:95.68
Epoch:275   Accuracy:95.38
Epoch:276   Accuracy:95.38
Epoch:277   Accuracy:95.41
Epoch:278   Accuracy:95.46
Epoch:279   Accuracy:95.18
Epoch:280   Accuracy:95.44
Epoch:281   Accuracy:95.24
Epoch:282   Accuracy:95.33
Epoch:283   Accuracy:95.36
Epoch:284   Accuracy:95.40
Epoch:285   Accuracy:95.29
Epoch:286   Accuracy:95.33
Epoch:287   Accuracy:95.26
Epoch:288   Accuracy:95.29
Epoch:289   Accuracy:95.38
Epoch:290   Accuracy:95.32
Epoch:291   Accuracy:95.00
Epoch:292   Accuracy:95.25
Epoch:293   Accuracy:95.10
Epoch:294   Accuracy:95.27
Epoch:295   Accuracy:95.30
Epoch:296   Accuracy:95.26
Epoch:297   Accuracy:95.33
Epoch:298   Accuracy:95.33
Epoch:299   Accuracy:95.22
Epoch:300   Accuracy:95.14
